2.510082497916824451e+01,7.963379916695973293e+01
2.011533336554827756e+01,4.985706358363213297e+01
2.260807962626072154e+01,6.474543356312454989e+01
2.260807917268774148e+01,6.474543137466298504e+01
2.260807917266716416e+01,6.474543137456372222e+01
2.260807917266716771e+01,6.474543137456372222e+01
2.260807917266716771e+01,6.474543137456372222e+01
2.260807917266716771e+01,6.474543137456372222e+01
2.260807917266716771e+01,6.474543137456372222e+01
2.260807917266716771e+01,6.474543137456372222e+01
