"","unique_ID","subsample","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","B16","B17","B18","B19","B20","B21","B22","B23","B24","B25","B26","B27","B28","B29","B30"
"486","160194","A",5,1,5,1,6,1,2,3,1,1,5,1,3,6,2,6,1,3,2,7,1,1,1,2,5,5,1,3,2,2,3,6,4,6,4,5,3,4,5,5,4,7,2,4,4,5,4,6,4,2,4,5,7,3,2,2,3,4,5,4,3,1,4,2,4,3,4,4,3,3,6,1,5,4,2,6,4,3,4,3,3,3,1,3,3,5,3,4,2,2
"487","160197","A",7,2,7,1,7,1,6,2,5,5,2,2,6,1,5,7,2,1,6,7,5,2,1,2,1,5,3,2,2,4,2,3,3,6,3,7,1,5,2,2,1,2,1,7,2,3,4,6,4,1,2,4,2,2,5,2,3,2,2,2,7,2,5,1,7,1,7,3,3,3,2,1,7,1,2,7,3,1,7,5,3,7,1,4,1,4,5,4,3,7
"489","160199","A",5,1,2,1,6,1,5,2,1,1,4,1,2,4,2,6,1,1,2,5,1,3,1,1,2,1,2,2,2,4,2,5,5,3,3,5,4,6,6,6,2,6,2,2,2,3,6,4,6,2,7,2,4,4,3,3,3,2,3,3,3,3,4,4,5,3,4,4,4,3,5,3,4,2,2,6,6,3,5,3,5,3,2,2,4,3,5,2,3,4
"490","160201","A",6,1,7,1,5,1,2,1,2,2,1,1,2,5,1,7,1,1,2,7,1,2,1,1,6,1,1,1,1,1,2,6,2,6,5,7,2,3,3,3,1,5,2,1,1,1,5,2,5,1,3,5,4,5,2,1,2,5,4,2,4,1,4,2,5,3,2,2,2,2,6,1,2,7,1,7,4,2,3,4,2,4,1,2,2,2,4,2,2,1
"491","160202","A",5,2,5,1,5,3,2,3,3,2,6,2,2,5,3,6,2,2,3,5,2,2,2,1,3,2,1,2,6,3,2,3,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,4,3,2,2,4,2,3,5,4,2,3,3,4,3,5,2,4,2,4,2,2,3,5,1,2,4,2,4,4,3,3,5,2,3,3,3,2,2,4,2,2,1
"493","160206","A",4,1,6,5,3,1,4,1,2,2,3,1,6,6,2,5,1,1,1,7,1,5,1,1,3,1,3,2,3,2,2,7,2,5,4,6,2,6,4,3,1,7,1,1,3,3,5,5,6,1,3,3,6,4,3,1,1,4,4,2,1,1,1,3,2,1,4,4,3,3,7,1,3,3,1,4,5,2,5,1,3,3,1,2,1,1,3,4,3,1
"494","160207","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"495","160208","A",5,3,3,5,5,4,3,2,3,4,4,2,5,3,5,5,4,3,2,5,2,5,1,5,1,2,6,4,2,2,5,5,4,3,4,4,3,4,3,4,3,7,3,5,3,3,4,6,3,4,3,5,7,3,6,3,6,4,7,4,5,1,4,1,4,5,5,3,4,3,5,1,6,5,4,4,5,5,5,3,4,6,1,2,1,2,6,4,1,3
"496","160209","A",2,1,2,1,6,1,1,1,1,1,1,1,7,4,3,7,1,1,1,5,1,1,1,1,1,1,5,1,5,1,5,4,4,4,4,5,4,7,7,7,1,7,2,4,5,5,6,7,7,3,7,4,7,4,5,4,4,4,6,5,4,6,4,6,4,1,6,5,4,4,6,1,6,4,1,7,4,1,5,1,4,6,1,6,1,1,6,6,4,1
"498","160211","A",2,2,4,2,2,2,2,5,2,2,5,2,2,2,2,4,2,2,2,5,2,2,5,2,5,6,2,2,5,3,2,5,2,5,2,4,5,5,4,6,2,5,5,2,5,2,5,5,5,1,7,5,5,5,5,5,4,5,5,5,4,4,4,5,4,4,6,6,6,6,7,3,4,4,4,4,4,6,6,4,7,5,3,5,3,5,6,6,6,3
"499","160212","A",5,1,4,1,2,1,6,4,1,1,1,1,1,2,1,5,1,1,2,5,1,5,1,1,1,5,1,1,6,2,3,5,3,6,4,5,2,4,5,6,6,6,2,6,6,2,6,6,5,1,5,3,6,6,4,2,6,5,3,4,2,2,2,2,2,2,5,3,2,2,5,1,4,2,3,2,4,3,2,2,2,5,1,2,1,2,5,2,6,1
"502","160215","A",5,1,6,1,5,2,3,1,1,1,2,1,6,7,3,6,1,2,1,6,1,1,2,1,1,1,2,1,2,3,5,4,4,5,4,2,3,7,7,7,2,7,2,1,3,5,4,5,6,1,7,3,5,4,7,6,4,3,7,5,5,1,5,1,5,4,5,4,4,4,3,1,7,7,2,6,6,3,4,7,4,4,1,1,1,1,5,1,1,1
"505","160219","A",6,3,5,6,6,1,2,2,2,2,3,5,6,6,2,7,1,1,2,5,2,6,5,6,2,6,3,6,5,6,2,3,1,3,3,5,5,5,5,4,2,5,2,2,2,2,5,3,5,1,4,4,4,4,6,2,3,4,3,3,4,4,3,4,7,2,4,4,4,4,6,2,4,4,2,7,5,2,4,2,4,4,3,4,2,4,5,4,2,3
"507","160223","A",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"509","160227","A",6,1,6,3,7,5,6,6,6,6,5,1,7,7,3,7,1,3,6,7,6,1,3,1,5,6,3,1,5,1,2,6,3,5,3,5,5,5,3,3,1,7,3,2,2,2,3,5,5,1,3,7,6,6,5,2,4,6,5,5,3,1,3,1,6,5,6,5,4,4,5,1,4,5,2,5,4,3,6,3,4,4,1,1,2,2,5,2,1,1
"510","160228","A",6,2,6,2,6,5,1,1,1,1,6,5,7,7,5,4,4,1,1,7,1,2,6,4,5,1,1,5,7,6,1,4,2,3,4,6,7,4,7,7,3,5,3,1,4,3,4,7,5,1,7,6,4,7,4,7,5,2,4,5,6,4,2,4,7,3,4,5,4,4,5,4,7,6,1,4,5,1,4,6,2,2,5,6,4,2,7,3,1,3
"512","160231","A",7,7,7,7,7,6,5,4,1,1,6,1,7,7,3,5,2,1,4,7,1,7,1,7,1,5,6,7,1,1,3,2,1,2,1,2,2,4,7,7,1,7,1,1,5,5,6,7,5,1,7,5,6,2,7,4,5,2,5,6,7,5,7,6,7,3,6,7,3,3,3,1,7,7,1,7,3,1,7,7,3,5,1,3,1,1,6,3,1,1
"514","160234","A",7,1,7,1,7,1,7,3,7,7,5,1,7,7,1,7,1,1,3,7,7,1,3,7,7,7,1,7,7,7,6,6,4,6,6,7,2,6,2,2,1,7,2,6,6,6,6,6,6,1,2,6,5,2,3,2,6,2,5,1,7,2,4,2,7,1,7,7,4,4,5,1,4,7,1,7,4,1,7,2,4,4,1,4,1,1,4,4,1,1
"515","160235","A",7,1,5,1,4,1,5,4,1,1,1,1,1,4,3,7,1,1,4,7,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,7,3,5,7,7,7,7,5,5,5,5,5,7,5,1,7,7,7,7,7,7,7,7,7,6,4,2,2,4,4,1,4,4,1,1,4,1,4,2,1,7,1,1,3,1,1,4,1,1,1,1,4,1,1,1
"519","160245","A",6,1,5,1,6,1,5,2,1,1,1,1,3,7,2,6,1,1,4,7,1,3,1,2,4,1,1,3,7,5,2,4,2,5,2,2,3,5,7,7,2,7,2,1,3,2,3,4,6,1,7,5,5,3,4,5,4,3,1,3,5,1,6,1,5,2,7,5,4,4,4,1,3,7,2,7,5,4,7,7,4,6,1,1,2,1,5,1,4,1
"521","160248","A",3,3,3,3,3,3,4,3,2,3,5,4,5,6,6,4,5,2,5,3,5,5,4,5,3,4,4,2,5,5,5,2,3,5,4,4,5,2,5,3,3,5,5,2,4,4,3,5,4,4,3,4,3,3,3,3,4,4,5,4,3,4,5,3,2,6,3,4,3,2,4,5,5,5,4,4,4,2,5,2,6,5,4,2,5,6,4,4,3,2
"526","160258","A",4,6,1,6,7,1,1,1,1,2,1,1,6,7,1,7,1,1,1,7,1,6,1,6,1,4,1,6,1,1,5,6,4,5,7,1,1,1,1,1,1,1,4,7,1,7,1,1,1,7,1,5,1,4,1,3,1,5,1,1,1,5,4,4,7,1,1,1,1,1,1,1,4,6,1,7,1,1,1,7,1,5,1,3,1,4,1,5,1,1
"528","160261","A",4,3,3,3,2,1,7,3,1,1,1,1,7,1,2,6,1,1,2,5,1,1,1,3,2,5,1,2,5,2,4,4,5,4,3,7,2,3,7,7,2,7,2,3,5,4,7,5,5,2,7,6,7,4,3,3,2,4,3,3,3,5,3,6,6,2,7,3,2,2,7,1,7,4,2,6,3,1,4,2,2,7,1,6,1,4,6,6,4,1
"530","160265","A",6,1,6,5,6,1,7,4,1,1,1,1,7,7,2,7,1,1,5,6,5,5,4,1,4,1,3,1,4,7,4,6,5,3,5,6,2,5,3,5,1,7,2,3,4,4,7,7,5,2,3,4,5,6,5,4,5,3,2,2,4,1,4,5,5,3,7,4,2,2,4,2,7,5,2,7,7,3,6,4,4,4,2,1,4,1,4,1,5,6
"532","160268","A",5,3,6,5,7,4,1,3,5,6,5,7,7,7,1,7,1,2,2,7,6,1,7,3,7,7,5,3,7,7,1,5,2,4,3,5,2,6,5,6,1,4,2,1,2,2,2,2,6,1,5,5,2,5,4,2,1,4,3,1,3,3,2,3,6,3,3,6,5,5,5,3,6,4,2,7,4,7,6,2,6,6,1,2,3,4,5,5,5,1
"538","160275","A",1,1,1,1,3,3,3,1,1,1,5,1,2,4,2,3,1,3,2,2,1,1,2,1,2,3,2,1,3,3,6,6,6,6,5,2,2,7,7,7,1,6,3,5,2,4,2,6,3,3,7,7,2,4,4,4,3,3,2,2,2,1,1,1,3,2,6,3,2,2,6,1,2,3,1,4,3,2,4,2,2,4,1,2,1,2,4,2,1,2
"540","160277","A",6,1,6,1,6,1,3,1,1,1,1,1,4,6,4,7,1,2,2,6,1,1,1,1,1,1,1,1,1,1,3,7,2,6,3,7,3,7,6,6,2,7,3,3,5,2,6,2,7,1,7,7,6,5,6,6,2,5,7,7,3,1,5,2,3,2,5,4,4,2,5,1,6,3,3,7,5,5,5,4,3,3,1,1,1,1,4,2,4,1
"541","160278","A",6,5,5,6,6,6,5,5,6,6,5,6,5,5,6,5,5,5,6,6,6,6,5,5,5,5,6,6,5,6,4,4,5,4,5,6,4,3,4,5,5,4,5,5,5,5,6,4,5,4,3,4,5,5,5,5,4,5,4,4,6,4,5,5,6,6,4,5,6,5,6,4,5,5,5,5,6,6,6,6,5,5,4,4,6,6,5,5,5,5
"542","160280","A",6,1,6,1,7,1,5,1,1,1,1,1,6,7,3,7,1,2,1,7,1,6,1,1,3,1,1,1,2,3,3,6,3,7,4,6,2,6,6,6,1,6,2,1,4,3,2,4,5,2,6,3,4,2,3,5,3,2,4,4,4,2,4,1,7,1,6,5,4,4,6,1,6,7,2,7,6,4,5,4,4,6,1,1,2,1,5,2,2,2
"546","160284","A",5,2,5,2,5,5,3,5,6,1,5,5,2,5,5,5,3,5,5,5,2,2,5,2,3,5,6,2,5,6,5,6,5,6,5,6,5,6,5,6,2,6,2,5,2,6,5,2,5,2,6,6,5,5,5,5,2,5,6,5,6,3,5,5,5,1,5,5,6,6,6,5,6,4,2,4,5,4,6,5,5,6,3,3,2,5,5,5,6,2
"551","160292","A",5,1,4,3,6,1,2,3,1,1,1,1,2,4,2,6,1,2,3,4,1,2,1,1,2,1,1,4,2,3,4,4,4,3,4,6,5,4,5,5,2,7,2,3,5,2,5,4,5,2,5,5,6,2,3,5,3,2,6,3,4,2,3,3,6,1,4,4,4,4,5,1,3,2,2,7,4,1,4,2,4,3,1,3,2,1,3,3,1,2
"552","160294","A",5,2,6,5,5,1,5,5,2,2,1,1,7,6,1,7,1,1,3,7,2,6,1,3,2,6,1,5,6,1,4,4,2,4,3,5,2,4,6,6,3,7,1,2,6,3,5,6,5,1,6,2,7,4,5,2,5,3,5,7,3,1,3,2,2,1,6,5,5,5,6,1,5,3,1,6,5,2,5,4,5,5,1,1,1,2,6,2,2,1
"554","160297","A",6,1,6,1,6,1,5,4,2,1,1,6,4,6,1,6,1,1,4,7,1,2,1,1,5,1,1,6,1,1,4,6,4,7,5,7,5,5,5,5,5,7,4,4,6,4,6,7,5,1,5,6,4,7,5,4,7,7,5,3,5,2,3,2,5,2,3,3,3,3,4,2,4,6,2,6,2,2,4,3,3,3,2,2,2,2,2,3,2,2
"556","160299","A",4,3,4,2,5,5,2,5,1,6,3,5,5,3,6,2,2,3,3,5,6,6,5,4,6,2,4,2,2,2,5,4,2,6,3,2,2,5,1,4,5,6,4,3,5,6,6,4,6,3,4,4,2,2,5,4,2,2,5,4,4,6,2,4,4,2,6,1,5,5,4,4,6,3,3,3,6,5,3,4,5,5,6,3,1,5,5,1,5,2
"558","160302","A",3,3,7,5,6,3,6,2,2,2,2,1,3,2,2,6,2,1,5,6,2,4,1,1,5,2,2,1,1,2,5,4,2,2,3,4,2,5,5,5,2,7,2,5,5,6,5,7,3,1,5,2,6,2,3,2,3,2,6,5,2,5,4,5,6,3,5,3,2,2,5,1,5,2,2,7,3,3,6,3,2,4,1,3,4,1,4,3,1,1
"560","160304","A",1,3,3,6,5,1,1,4,3,6,1,2,5,3,5,5,3,2,2,5,7,2,3,1,1,7,2,1,6,2,5,6,4,5,5,7,1,5,6,7,2,6,3,5,3,4,4,7,6,2,5,3,2,4,5,5,5,4,3,4,2,1,1,3,4,1,5,3,4,4,2,1,5,4,1,4,5,4,2,1,2,4,1,1,1,2,5,5,2,1
"561","160311","A",6,2,5,2,5,1,7,1,1,2,1,1,4,6,2,6,2,1,3,6,2,3,1,2,3,2,2,3,5,6,3,4,4,5,5,3,2,4,4,3,2,7,3,2,3,4,4,4,5,2,4,5,7,6,3,5,6,5,6,4,4,2,3,2,5,2,6,4,3,2,3,1,3,4,1,7,3,3,5,4,3,3,1,2,3,2,4,3,3,2
"562","160312","A",3,1,6,1,7,1,4,4,1,7,1,1,1,3,3,5,3,3,4,5,1,1,1,1,1,1,3,1,1,1,5,7,3,7,7,7,2,2,5,5,2,7,4,7,6,5,6,6,2,3,5,5,5,5,6,3,6,5,6,5,4,1,3,1,4,1,5,5,5,5,4,1,3,4,2,6,4,4,5,3,5,5,1,1,1,3,4,1,3,1
"563","160314","A",7,3,7,5,7,1,3,2,6,5,1,1,7,7,5,7,3,2,4,7,5,7,2,5,5,6,5,7,6,1,3,6,3,4,4,7,6,5,2,3,3,7,2,3,4,5,3,6,6,2,3,4,6,4,5,5,3,4,6,5,6,3,5,5,4,2,6,6,4,5,5,1,6,4,5,7,5,4,6,4,4,7,1,6,4,6,6,6,5,1
"565","160316","A",5,1,5,1,7,1,1,1,1,1,1,1,6,7,2,7,1,1,1,6,1,5,1,6,3,4,1,6,7,6,4,6,4,6,3,7,5,7,7,6,4,7,4,2,5,3,5,7,6,1,7,6,7,5,7,5,6,4,7,4,5,3,5,3,7,4,5,3,4,3,7,1,6,6,1,7,5,1,6,4,4,5,1,6,1,1,4,6,1,1
"566","160317","A",7,1,7,1,7,1,5,2,1,1,1,2,5,2,3,7,1,1,5,7,1,1,1,1,1,1,5,1,1,1,5,5,5,7,4,7,5,6,7,7,3,7,4,6,7,5,7,7,5,4,7,7,7,7,7,4,2,4,7,5,4,1,5,1,7,1,3,4,1,1,6,1,2,5,1,7,5,1,6,4,1,1,1,1,1,1,6,1,1,1
"567","160319","A",1,4,1,4,7,1,1,1,1,1,1,1,4,7,1,7,1,1,1,5,1,4,1,4,1,1,1,4,1,1,1,4,1,4,5,1,1,1,1,1,1,1,4,5,1,6,1,1,1,5,1,4,1,4,1,1,1,4,1,1,1,4,1,4,6,1,1,1,1,1,1,1,4,5,1,6,1,1,1,5,1,4,1,4,1,1,1,4,1,1
"568","160320","A",6,2,5,2,4,1,3,3,1,1,5,1,6,1,3,5,2,6,3,7,1,2,1,1,2,3,1,1,1,1,1,4,1,3,1,3,3,3,6,6,1,3,2,1,2,4,1,2,4,1,6,3,3,2,2,2,4,2,5,2,1,3,1,3,4,1,5,4,6,6,6,1,4,1,1,4,4,4,5,1,6,3,1,2,1,1,5,4,2,1
"569","160321","A",6,1,6,5,7,1,1,1,1,1,1,1,6,2,1,5,2,1,3,7,1,6,2,6,5,6,2,6,5,6,4,5,5,5,2,7,6,6,6,6,3,7,3,2,4,2,4,7,5,2,6,6,7,6,7,6,6,6,7,6,4,6,4,5,4,2,4,4,4,4,7,1,6,4,1,4,5,2,4,4,4,6,1,6,1,2,4,6,5,1
"571","160323","A",7,1,7,5,7,1,7,6,7,6,5,1,1,7,5,7,1,6,6,7,1,7,1,1,6,2,1,1,5,7,3,6,3,6,5,6,2,4,7,6,2,7,6,5,2,5,3,3,6,1,7,4,7,6,6,5,6,6,3,2,3,2,3,3,7,1,4,4,6,6,4,2,2,6,1,7,2,2,4,3,1,6,1,2,1,2,2,2,2,4
"574","160326","A",6,6,6,6,6,4,5,5,1,1,3,2,5,6,4,6,3,5,5,6,1,2,2,6,6,6,5,6,6,4,2,2,2,2,2,5,3,3,6,6,5,5,3,2,5,2,5,4,3,2,6,7,5,2,3,3,2,2,5,4,1,6,1,6,1,5,4,4,6,6,5,2,5,1,5,1,5,5,4,1,6,1,2,6,2,6,5,6,6,4
"575","160327","A",6,1,6,1,2,1,4,3,1,1,1,1,5,4,2,7,1,1,3,7,1,2,1,1,4,1,1,1,1,3,1,4,1,4,3,5,5,6,4,4,1,6,2,2,2,1,6,4,6,1,6,3,5,5,4,4,5,5,5,3,1,1,1,1,3,2,6,5,2,3,3,1,1,3,1,7,6,1,6,1,3,1,1,1,3,1,4,1,1,2
"577","160329","A",6,1,6,1,6,1,6,5,1,1,1,1,1,5,1,6,1,5,5,6,1,1,1,1,6,6,1,1,6,1,4,6,3,6,4,7,1,3,7,7,3,7,2,3,4,2,6,2,4,1,7,6,7,6,3,2,5,6,2,5,4,1,3,1,4,1,4,4,2,3,5,1,1,6,1,6,3,5,5,3,3,4,1,1,1,4,2,1,5,1
"582","160337","A",6,6,7,6,7,1,5,2,2,1,1,1,7,7,3,7,1,1,3,7,1,4,5,5,6,1,1,5,1,6,2,3,2,4,3,4,4,5,6,6,2,4,1,2,3,1,5,6,6,1,6,5,3,4,3,5,5,4,7,3,4,4,2,5,5,2,6,4,4,4,3,1,6,4,1,7,4,1,4,3,3,4,1,5,1,1,4,5,1,1
"584","160340","A",6,1,6,1,5,1,6,5,1,1,2,1,2,4,5,6,5,4,5,6,1,1,3,1,3,6,5,1,6,5,2,6,2,6,3,7,4,5,6,6,2,7,4,4,4,2,3,5,6,2,6,6,5,6,4,4,4,6,4,4,4,1,3,1,5,1,4,4,2,2,5,1,2,4,3,6,4,4,4,3,2,1,2,1,2,2,5,1,2,2
"588","160345","A",4,1,5,2,5,4,1,2,1,1,2,1,4,7,1,7,1,1,1,6,1,2,1,1,1,1,3,1,4,1,3,3,3,3,3,3,3,4,3,4,1,5,2,3,6,3,5,5,4,2,4,3,3,3,5,3,3,3,4,4,3,1,4,3,4,3,4,3,3,2,4,2,5,6,1,7,3,2,3,4,3,3,1,3,1,1,4,2,4,1
"594","160355","A",1,6,1,6,6,1,6,1,6,6,1,1,6,6,2,4,1,1,6,7,6,6,3,1,1,3,1,1,6,1,7,5,7,5,4,7,4,7,4,4,5,7,3,4,6,5,6,6,5,1,5,4,7,7,7,1,5,7,7,7,2,4,1,3,7,4,6,4,6,4,4,1,7,7,4,7,1,1,7,4,7,7,1,1,1,1,4,1,7,1
"597","160360","A",5,2,5,3,4,1,4,2,1,1,1,1,4,5,1,4,1,3,3,6,1,3,1,3,1,1,1,3,1,1,3,5,2,5,4,5,3,3,4,4,1,5,4,4,3,3,4,5,3,1,4,6,5,6,5,6,4,6,6,5,3,2,3,2,3,2,4,4,4,3,3,1,3,3,2,3,5,4,3,3,4,3,1,3,1,1,3,3,1,1
"598","160361","A",3,1,4,1,5,1,3,1,1,1,2,1,2,5,2,5,2,1,1,6,1,1,1,1,1,5,2,1,5,7,3,5,3,5,2,6,3,5,6,6,2,5,2,2,4,3,4,6,6,1,6,6,3,6,4,2,5,5,2,3,2,1,2,1,5,1,3,4,5,4,4,1,4,3,1,6,3,1,4,4,4,1,1,1,1,4,3,1,4,4
"601","160368","A",2,1,4,1,5,2,5,1,1,1,1,1,1,6,2,5,1,1,2,5,1,1,1,1,1,1,1,1,1,1,4,6,4,6,3,5,3,6,5,5,2,6,4,2,4,2,5,6,5,2,5,3,5,6,5,5,4,3,6,5,2,2,2,3,5,3,5,5,4,4,4,1,3,3,2,5,5,4,3,2,4,2,2,3,1,2,5,3,3,2
"604","160378","A",3,2,5,2,6,1,7,5,3,1,1,2,7,7,2,6,1,1,3,7,1,2,7,6,6,1,1,6,6,5,4,5,3,4,4,7,2,4,4,7,2,6,2,2,4,2,6,7,5,1,6,5,4,4,4,5,7,2,3,2,3,3,2,4,3,3,7,7,5,7,6,1,4,5,3,4,6,2,7,3,7,2,1,3,4,1,7,5,3,2
"607","160389","A",4,4,4,4,4,1,1,1,1,1,1,4,4,4,3,4,1,1,1,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,4,4,7,4,7,7,7,4,7,4,7,4,7,7,7,4,7,7,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,4,1,1,4,4,1,1
"608","160390","A",6,1,6,4,6,1,2,1,1,1,1,1,6,6,1,7,1,1,2,6,1,4,1,4,2,1,1,4,1,1,3,6,3,3,1,7,3,6,6,6,6,7,2,1,5,1,5,6,3,1,6,4,7,4,4,6,6,4,7,5,3,1,3,4,7,1,4,2,1,1,4,1,6,3,1,7,3,1,4,3,1,2,1,2,1,1,4,2,1,1
"610","160392","A",5,6,5,5,7,5,5,3,3,2,6,3,3,6,2,4,5,7,5,4,1,7,5,6,4,5,1,5,6,3,4,6,5,5,5,3,5,5,4,5,1,5,7,4,6,6,5,7,4,5,6,5,6,3,6,6,7,4,7,4,4,5,4,4,6,2,3,4,6,5,4,3,6,5,4,5,4,7,6,5,3,6,5,5,6,5,4,4,5,4
"611","160393","A",5,2,5,2,5,1,5,3,1,1,1,1,6,6,3,6,2,1,4,6,1,6,1,1,2,2,3,1,2,4,4,6,4,6,4,5,2,3,7,7,4,7,3,5,2,5,5,7,3,2,7,4,7,7,3,4,4,7,6,2,6,2,5,2,5,1,4,4,5,3,3,1,4,6,1,6,2,1,3,4,5,3,1,1,1,1,4,1,3,1
"614","160396","A",4,1,4,1,4,4,6,6,1,1,5,1,4,5,1,5,1,1,1,5,1,1,1,1,2,1,1,1,1,1,3,6,3,5,2,2,2,2,6,6,1,6,2,2,7,2,7,7,2,2,6,2,6,3,5,6,6,3,6,6,5,2,5,2,6,1,5,4,5,4,6,1,4,5,2,5,7,7,5,5,5,2,1,2,2,3,6,2,5,2
"615","160397","A",4,2,5,5,4,2,6,5,2,1,3,2,5,7,3,3,2,2,3,6,2,6,2,1,5,2,2,5,3,5,3,4,3,5,3,4,3,4,5,6,1,7,2,3,3,4,4,3,4,1,5,2,5,3,3,3,2,3,4,2,3,3,3,4,3,3,4,3,4,4,4,1,3,3,3,3,4,4,5,1,4,4,1,2,3,2,2,3,4,2
"616","160399","A",5,2,5,1,6,1,5,3,2,2,2,1,3,6,2,6,1,1,2,7,1,1,1,2,1,1,1,1,1,3,3,4,3,4,2,7,4,5,7,6,6,6,2,2,4,2,5,6,5,2,7,7,6,6,6,4,5,6,5,6,4,2,3,2,7,3,5,6,4,4,4,3,4,7,3,7,4,4,6,4,4,2,3,2,3,3,5,2,2,3
"619","160403","A",6,1,7,1,6,1,4,2,1,1,1,1,1,4,1,4,1,1,3,7,1,1,1,1,3,1,1,1,1,5,3,7,1,7,5,7,4,7,7,7,4,7,4,3,7,1,4,7,7,1,7,7,7,7,4,7,7,7,7,4,1,1,1,1,4,3,7,7,4,4,7,1,1,4,1,1,7,4,7,1,4,1,1,1,1,1,7,1,1,1
"620","160404","A",7,1,6,7,7,1,7,6,2,2,1,1,7,7,1,6,1,2,6,7,2,7,1,7,5,6,1,7,2,1,3,7,3,4,2,6,2,3,4,4,1,6,2,2,3,2,3,3,5,2,4,4,5,4,4,2,4,4,5,5,4,2,4,7,4,2,4,5,5,5,6,1,7,4,1,7,5,4,6,4,5,7,1,7,4,2,4,7,5,1
"622","160406","A",3,1,3,1,3,1,3,1,1,1,1,1,1,3,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,2,3,7,3,6,4,6,4,5,7,7,1,7,6,1,4,4,5,6,6,2,7,6,6,6,6,4,6,5,7,7,1,1,1,1,3,1,4,1,1,1,7,1,2,2,1,3,2,1,2,1,1,1,1,1,1,1,4,1,1,1
"624","160410","A",3,2,3,2,3,5,6,2,2,1,2,2,6,5,5,5,2,2,3,4,2,2,2,6,2,2,2,6,2,2,3,6,4,6,3,2,2,5,6,6,2,6,3,3,2,4,6,6,5,4,6,7,6,6,6,5,6,3,6,6,3,2,3,2,3,3,5,3,3,3,5,1,5,3,3,3,3,3,4,3,3,1,1,2,1,1,4,4,1,1
"626","160413","A",7,1,7,1,7,1,1,1,1,1,1,1,1,7,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,6,7,7,7,7,6,7,7,1,6,1,6,6,7,1,7,7,7,7,7,7,6,7,7,7,7,1,7,1,7,1,1,1,1,1,1,1,1,7,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1
"627","160414","A",1,1,1,1,7,1,1,1,1,1,1,1,1,7,4,7,1,1,1,7,5,1,1,1,1,3,1,1,1,1,3,7,2,7,6,6,2,4,7,7,7,7,2,1,2,4,4,6,7,1,7,7,7,7,7,3,7,7,7,7,3,1,4,1,7,1,4,4,4,3,1,1,1,7,1,7,4,2,4,7,5,1,1,1,1,1,1,1,1,1
"629","160423","A",6,4,6,2,7,1,6,3,5,4,1,1,6,6,1,6,1,1,5,7,5,1,3,7,1,3,6,7,1,2,3,4,4,7,2,2,2,5,4,5,1,7,2,2,4,3,5,4,5,1,5,3,3,3,4,3,2,3,5,3,2,4,2,2,7,3,4,5,3,2,6,1,4,7,1,7,7,7,5,1,2,5,1,5,1,1,7,5,7,1
"630","160424","A",6,1,5,4,6,1,4,1,1,1,1,1,5,4,2,6,1,1,2,6,1,4,1,1,1,1,1,1,1,1,2,5,2,4,2,6,2,5,5,5,4,6,2,2,3,2,4,4,5,1,5,3,5,3,4,3,4,3,5,5,3,2,3,2,5,2,4,3,3,3,4,1,4,3,2,6,4,2,4,3,3,3,1,2,2,1,3,2,1,1
"631","160426","A",3,5,2,3,4,1,2,3,2,1,1,6,2,3,2,3,1,1,3,5,2,3,4,3,4,6,2,4,4,3,5,3,3,3,4,6,6,5,6,5,6,5,6,3,6,4,5,3,5,4,4,4,4,4,4,6,4,5,5,3,4,2,3,3,5,3,5,4,6,3,3,3,5,5,3,5,4,2,5,5,4,4,3,6,4,6,4,5,4,5
