"","unique_ID","subsample","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","B16","B17","B18","B19","B20","B21","B22","B23","B24","B25","B26","B27","B28","B29","B30"
"1","152068","B",2,1,3,1,3,2,4,2,1,1,1,1,2,4,2,4,2,1,4,5,1,1,1,1,2,1,1,2,1,5,2,3,2,4,2,5,2,5,7,7,2,4,2,2,3,2,4,7,3,1,6,3,4,2,3,3,5,2,5,2,2,2,1,2,3,1,2,4,5,5,4,1,2,1,1,6,3,2,3,1,6,2,1,2,1,1,3,2,1,1
"2","152069","B",4,7,7,4,5,5,5,4,7,5,5,7,7,5,4,4,4,7,7,7,7,5,5,5,5,7,7,4,6,7,4,7,7,4,5,7,6,7,7,5,5,7,7,5,6,4,5,4,6,7,5,5,5,5,6,5,7,4,6,7,4,7,7,4,5,7,6,7,7,5,6,7,7,5,7,4,5,6,6,7,5,5,5,5,6,5,5,4,6,7
"3","152072","B",6,1,6,1,6,1,4,4,5,5,2,1,6,4,5,7,1,3,4,7,5,1,3,5,1,6,1,2,6,1,4,7,3,7,4,7,4,4,7,7,5,7,3,4,5,2,6,5,4,1,7,7,6,4,6,5,6,4,7,7,4,1,4,1,6,3,4,4,5,5,5,1,4,5,1,7,4,4,4,4,5,4,1,4,1,3,4,4,4,1
"4","152074","B",7,1,6,1,1,1,1,1,1,1,1,1,1,1,1,7,1,2,1,7,1,1,1,1,1,1,1,1,1,5,4,7,4,7,7,7,4,7,7,7,2,7,7,5,4,4,7,6,6,2,7,6,7,7,7,7,7,6,7,6,3,1,3,1,1,1,4,2,3,3,3,1,1,1,1,7,5,4,4,3,4,2,1,1,1,1,6,1,1,3
"5","152075","B",5,1,5,1,6,1,6,6,5,3,1,1,3,7,2,6,1,1,5,6,2,1,1,2,3,2,1,2,1,3,4,4,3,4,4,6,2,3,2,2,2,6,3,2,2,4,6,4,4,2,2,6,3,3,3,5,3,3,6,3,3,3,2,3,5,2,5,4,2,2,4,1,4,4,2,4,3,2,5,2,2,3,2,3,3,2,5,3,3,2
"6","152076","B",7,1,7,1,7,1,1,1,1,1,2,1,5,7,1,7,1,2,1,7,1,1,1,2,5,1,1,2,2,1,2,3,2,3,1,2,5,4,3,4,2,4,2,1,2,3,3,3,5,1,3,3,4,2,3,5,2,2,4,3,3,2,2,2,6,2,2,2,2,2,4,1,3,3,2,5,3,3,2,2,2,3,1,2,2,2,3,2,2,2
"7","152077","B",6,1,6,1,6,1,5,3,2,2,5,1,7,6,3,6,1,3,5,7,1,1,1,1,2,5,2,1,2,2,3,5,2,5,4,6,2,3,4,5,2,5,1,4,5,3,6,5,4,1,5,5,5,5,5,3,6,5,7,5,4,2,2,2,6,1,4,4,4,4,6,1,6,6,2,6,1,3,4,2,4,2,1,2,2,2,4,2,3,1
"8","152078","B",6,1,2,1,7,1,5,1,1,1,1,1,1,7,5,4,1,1,1,5,1,1,1,1,1,1,1,1,6,5,2,7,3,6,7,7,2,4,7,7,4,7,1,5,1,4,2,7,5,1,7,3,4,4,7,3,6,4,3,2,4,1,3,1,4,1,7,4,1,1,3,1,1,4,1,4,4,4,4,2,1,1,1,1,1,1,4,1,3,3
"9","152079","B",6,5,5,2,6,1,4,3,3,2,1,3,3,3,5,3,2,1,2,3,2,3,3,5,5,3,2,4,6,5,4,5,5,3,5,6,4,2,4,2,3,2,4,4,4,2,5,6,4,4,3,4,3,4,4,3,1,2,4,3,2,5,6,3,3,3,4,3,3,4,2,2,3,5,2,3,7,4,2,5,2,5,4,4,4,3,1,2,6,5
"10","152080","B",5,1,3,5,2,1,4,5,1,1,1,1,7,5,1,7,1,1,3,5,1,1,1,1,5,6,1,1,3,1,4,7,3,7,6,7,5,4,7,7,6,7,2,2,7,4,7,7,5,3,7,7,7,7,5,1,7,7,7,7,2,1,2,1,4,1,5,5,7,7,7,1,5,4,1,7,4,4,5,1,7,1,1,1,1,4,4,1,1,1
"13","152083","B",7,5,6,2,7,1,5,2,1,1,1,3,5,7,3,7,1,1,6,7,1,6,2,2,5,1,6,5,2,6,1,3,2,5,3,5,2,4,5,5,1,3,2,1,4,3,5,6,3,1,5,2,2,3,3,4,2,3,3,2,1,3,1,3,6,3,4,4,5,5,5,2,4,5,1,6,2,4,6,1,5,6,2,4,2,2,6,5,5,3
"15","152085","B",4,3,6,4,7,1,7,6,1,5,1,1,7,7,3,3,1,1,4,7,5,2,1,1,3,4,4,6,1,7,4,5,2,4,6,5,2,6,2,5,2,6,2,2,4,3,4,3,4,1,4,2,2,2,4,5,2,3,7,3,4,3,3,4,7,4,4,2,2,4,4,1,7,4,3,7,5,5,3,4,3,2,1,1,4,3,4,5,1,5
"16","152086","B",6,5,6,5,6,3,5,5,5,5,5,3,6,6,3,6,5,5,6,6,5,6,3,5,4,3,5,6,6,5,2,4,3,5,4,5,5,6,5,5,2,5,2,3,4,4,3,4,6,2,5,3,5,6,4,3,2,5,4,3,5,3,4,4,5,3,5,5,5,4,5,3,5,5,2,7,4,3,5,5,4,5,3,5,3,2,5,5,4,3
"18","152088","B",6,5,6,5,6,2,4,2,1,1,3,1,5,6,2,6,1,1,4,6,1,6,3,1,5,3,3,5,1,5,2,3,2,3,3,5,3,6,6,5,4,6,2,2,5,2,7,6,5,1,6,3,5,3,4,3,4,3,5,5,3,5,4,5,6,3,4,4,4,3,5,2,5,6,2,6,3,2,5,4,3,5,2,3,2,2,5,5,2,2
"19","152089","B",3,1,3,1,4,2,6,5,5,3,6,1,6,5,6,5,6,2,2,5,3,1,1,1,2,2,5,1,2,7,6,6,5,6,4,5,5,3,4,4,1,7,2,2,2,3,4,6,6,3,4,7,6,5,6,5,6,5,7,3,4,1,3,4,7,1,6,3,5,4,7,1,4,2,1,7,3,5,5,1,4,7,1,6,2,4,4,6,5,4
"20","152090","B",3,2,2,1,3,1,5,1,1,1,3,1,3,2,2,4,1,1,2,3,1,1,2,2,3,1,1,1,2,2,4,5,4,6,4,6,2,7,6,6,2,7,4,5,3,3,4,5,7,2,6,4,6,4,5,6,6,5,7,4,2,1,2,1,3,1,7,4,2,2,4,1,2,3,1,4,2,1,4,3,2,3,1,2,2,1,3,2,1,1
"22","152093","B",4,1,3,1,5,2,4,3,2,2,2,1,5,3,3,6,1,2,3,5,6,1,1,1,2,2,1,1,2,1,4,6,3,6,4,6,2,5,4,5,2,6,2,4,3,1,5,6,5,2,4,5,6,5,4,5,4,4,5,5,2,2,2,2,6,3,4,4,2,3,3,1,4,4,2,6,3,3,4,1,3,3,1,2,3,2,4,2,3,1
"24","152098","B",2,4,3,4,3,2,2,3,5,2,3,3,3,3,3,4,3,2,4,6,3,3,3,3,2,2,2,5,3,3,3,2,4,3,3,5,4,5,4,3,4,2,3,4,4,4,6,5,5,3,5,4,4,4,2,5,5,5,5,3,3,1,4,2,3,3,3,5,4,4,6,2,4,3,1,3,2,2,3,3,4,1,2,1,2,3,4,1,3,2
"30","152108","B",5,2,6,7,7,3,6,4,4,4,6,1,7,7,2,7,2,2,4,5,5,2,1,7,3,1,5,7,7,3,3,6,2,3,3,2,3,5,5,5,1,5,1,3,2,3,4,2,6,1,4,3,5,3,5,7,4,3,3,4,2,2,1,4,4,3,5,4,3,4,4,1,7,5,1,4,4,3,4,1,3,3,1,4,1,1,4,4,7,1
"32","152110","B",3,2,4,3,5,2,4,2,3,2,1,1,5,6,1,5,1,2,4,4,3,2,1,2,4,1,1,2,4,2,3,6,3,4,2,5,4,5,4,4,3,7,2,3,5,2,5,5,4,2,4,3,7,4,4,5,6,3,6,5,3,1,3,4,5,1,4,3,2,2,5,1,5,4,1,7,6,3,4,2,2,3,1,3,1,1,5,4,3,1
"35","152113","B",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,7,7,7,7,7,1,7,4,1,7,1,7,7,7,1,7,3,7,4,7,7,7,2,7,7,2,4,2,4,5,2,1,1,1,1,7,1,7,4,7,2,7,1,1,1,1,3,1,3,1,1,7,5,1,1
"36","152114","B",4,1,3,1,2,1,5,5,1,1,1,1,5,3,4,4,1,1,5,5,1,1,7,1,6,2,5,1,1,6,4,6,5,5,4,7,4,4,7,7,1,4,2,4,3,4,5,7,5,1,7,2,2,4,3,4,2,4,7,2,4,3,2,3,6,1,6,6,2,3,7,1,4,2,3,6,5,2,6,3,2,6,1,2,1,1,6,3,2,4
"37","152116","B",7,1,7,4,7,1,7,1,1,1,1,1,6,4,1,7,1,1,4,7,1,7,1,7,4,1,1,7,6,7,7,7,1,7,1,7,1,7,7,7,1,7,1,4,4,4,7,7,4,1,7,1,7,4,7,7,7,4,7,7,4,1,1,1,4,1,7,7,7,7,7,1,7,1,1,7,4,1,7,1,7,7,1,4,1,1,7,4,7,1
"38","152119","B",6,2,5,3,5,1,6,3,4,2,1,1,7,6,3,7,1,1,3,7,2,1,1,1,2,1,1,1,2,4,3,3,3,3,4,7,2,4,3,3,1,7,2,2,4,4,5,7,5,1,3,6,7,5,6,3,6,5,5,4,4,4,5,5,6,1,6,5,4,4,6,1,7,5,2,7,3,2,5,5,4,4,1,1,1,2,4,3,2,3
"40","152121","B",4,3,4,4,2,1,4,4,3,2,3,1,6,4,2,5,2,2,3,5,3,1,1,5,1,2,3,5,2,1,4,5,5,6,5,7,4,3,4,5,2,7,2,4,6,5,6,6,5,2,4,5,6,4,7,5,5,6,6,6,4,3,2,3,4,1,5,3,5,2,6,1,4,4,1,5,5,2,6,3,4,3,1,3,1,1,4,3,1,1
"41","152122","B",6,1,5,1,7,1,4,1,1,1,7,1,1,7,6,6,5,1,2,6,1,4,3,1,3,5,6,1,5,7,4,4,3,4,2,6,2,4,7,7,1,6,2,2,2,3,3,4,5,1,7,2,4,4,5,2,2,4,4,3,4,1,4,1,5,1,4,4,3,3,7,1,1,4,2,6,4,2,4,4,3,1,1,1,2,2,5,1,2,3
"42","152123","B",7,2,6,5,6,2,5,3,1,1,2,1,7,5,2,7,1,4,2,7,1,4,1,2,6,2,3,4,5,3,4,5,3,4,4,3,2,4,6,6,2,6,2,3,5,3,5,4,5,2,6,4,4,4,5,3,2,3,3,4,4,2,3,4,5,3,5,3,4,4,5,1,7,3,2,6,4,4,3,4,4,3,1,2,3,2,3,4,4,1
"43","152125","B",6,1,5,1,6,1,2,1,1,1,2,1,2,5,2,6,1,1,2,6,1,1,1,1,3,1,1,1,2,3,2,4,2,4,2,5,3,2,4,5,2,4,2,2,3,2,3,4,3,1,5,3,4,3,3,3,5,3,5,3,3,4,3,3,4,1,4,3,3,4,3,1,4,4,2,4,4,3,4,2,3,5,1,4,2,2,5,4,2,3
"44","152126","B",6,2,3,5,5,1,1,1,1,1,5,2,6,6,1,7,3,1,1,6,1,3,1,5,6,6,1,6,1,3,5,4,4,2,5,7,6,6,5,5,2,6,2,2,7,3,5,5,6,1,4,4,7,3,5,2,6,3,7,3,5,3,2,4,5,1,5,5,4,4,5,1,5,3,1,7,5,3,5,3,4,6,1,4,4,2,6,4,5,2
"45","152127","B",4,2,4,2,3,2,2,1,2,1,3,1,2,4,3,5,2,2,1,5,2,1,1,1,2,3,1,2,3,3,5,3,5,3,5,5,4,6,5,6,4,5,3,5,5,5,5,5,5,2,4,4,4,4,5,2,5,3,4,3,3,2,3,3,4,3,4,3,3,3,6,2,3,4,2,4,3,3,2,3,3,2,1,3,1,4,4,2,4,2
"46","152130","B",7,1,7,1,7,5,6,6,1,1,4,5,7,7,3,7,4,5,6,7,1,4,2,5,7,5,3,5,6,7,4,7,2,7,1,5,5,5,7,7,1,3,1,1,5,1,4,6,5,2,7,2,6,2,2,3,5,2,4,2,5,1,4,1,7,4,6,6,1,1,4,4,7,7,4,7,5,5,6,4,1,4,1,3,4,5,5,3,7,4
"47","152131","B",3,1,2,1,5,1,1,1,1,1,2,1,1,7,2,4,1,2,1,5,1,3,1,1,2,1,1,1,1,1,3,5,5,5,3,7,2,5,5,3,2,6,2,2,3,2,5,4,7,2,3,2,6,3,5,4,6,3,7,7,2,2,1,3,4,1,4,4,3,3,5,1,3,4,2,4,4,4,5,2,3,5,1,3,2,1,4,3,2,1
"52","152139","B",3,5,5,5,7,1,7,7,7,7,2,3,7,7,1,7,1,1,7,7,7,7,2,2,7,5,6,3,1,7,3,5,2,4,4,3,2,5,2,2,1,4,2,4,2,2,4,5,5,1,2,3,3,3,4,3,2,3,4,2,3,4,4,4,7,5,7,7,7,7,5,2,4,7,3,7,5,6,7,4,7,6,2,3,5,5,7,4,4,3
"54","152141","B",2,7,7,7,7,4,7,2,2,2,6,1,7,6,1,7,1,1,6,7,4,7,7,7,2,7,1,7,7,6,7,7,5,7,1,6,4,7,4,3,1,7,7,6,7,4,7,7,6,3,5,7,7,7,7,7,7,7,7,7,5,7,3,7,7,2,7,7,7,7,3,1,7,7,1,7,7,3,7,4,7,7,1,7,1,5,6,7,4,1
"55","154337","B",5,1,3,1,7,1,1,1,1,1,4,1,1,5,5,5,2,4,1,6,1,1,1,1,1,7,5,1,5,6,2,7,2,7,4,7,7,7,7,7,3,7,5,2,4,5,7,7,7,1,7,7,7,7,7,2,4,7,5,6,3,1,1,1,5,1,4,3,2,3,5,1,1,7,2,7,1,1,2,1,3,1,1,2,1,1,5,2,2,1
"60","154343","B",5,1,5,1,6,1,7,5,1,2,1,1,1,6,1,6,1,1,6,7,1,6,1,1,1,1,3,2,2,5,4,5,4,2,1,7,2,2,3,5,2,6,5,2,5,3,5,7,5,1,5,5,5,7,7,6,5,6,7,4,3,1,2,2,3,1,2,2,2,4,2,1,3,4,1,4,2,2,3,1,2,2,1,1,1,1,4,1,1,1
"61","154344","B",1,1,3,5,7,4,4,1,1,1,1,1,1,1,5,7,1,1,5,7,6,1,1,1,4,6,1,1,1,1,6,7,6,4,5,7,5,7,4,4,3,7,5,5,5,5,7,7,4,2,4,7,7,5,7,5,7,7,7,7,1,1,1,4,4,1,4,1,4,4,7,1,2,1,2,7,4,2,4,5,4,1,1,1,1,4,1,1,1,1
"62","154345","B",7,1,7,1,7,1,5,1,1,1,1,1,5,1,1,7,1,1,1,7,1,1,1,1,5,1,1,1,1,5,2,3,5,3,5,7,3,3,7,6,1,7,2,2,3,5,7,7,5,1,7,7,7,7,3,5,7,7,7,6,7,1,4,3,4,1,3,2,1,1,3,1,4,1,1,7,1,1,3,7,1,1,1,1,1,1,1,1,1,1
"63","154346","B",5,1,5,1,4,2,7,5,1,1,1,1,7,7,1,5,1,1,3,7,1,1,5,1,3,6,1,1,2,2,3,7,4,6,5,5,2,3,7,7,2,7,1,3,7,5,7,7,6,1,7,6,5,6,4,5,7,6,7,4,3,1,3,1,6,1,6,3,1,3,4,1,6,5,1,7,1,1,3,1,2,5,1,1,3,3,2,1,1,1
"64","154347","B",1,1,7,7,4,4,7,1,7,7,7,1,7,7,1,4,1,1,4,7,7,7,1,7,1,7,7,7,7,1,7,7,2,4,5,4,2,4,3,2,1,5,3,2,3,4,5,5,5,1,3,3,4,2,5,4,3,2,4,4,1,1,1,1,4,4,4,4,4,4,7,1,4,4,1,7,4,1,4,1,4,1,1,1,1,1,4,1,1,1
"65","154348","B",7,2,4,4,5,2,5,3,1,2,4,3,4,4,1,7,1,1,3,7,1,6,2,3,3,1,1,2,4,5,3,5,4,3,3,4,2,3,7,6,3,4,3,1,4,1,6,7,2,2,7,3,3,5,2,6,6,4,4,4,3,3,3,3,3,1,5,2,1,2,5,1,4,4,1,6,1,1,4,3,1,4,1,1,1,1,3,3,1,1
"67","154350","B",3,1,4,7,7,1,4,4,1,1,5,1,6,7,2,7,1,1,4,6,1,1,1,1,4,1,5,1,5,6,3,7,3,3,2,7,2,2,7,7,3,7,3,1,4,1,7,7,2,1,7,7,6,7,7,7,4,7,5,5,5,1,5,6,7,1,5,5,1,1,3,1,6,7,1,7,1,1,5,6,1,1,1,1,1,1,2,1,4,1
"69","154352","B",4,3,4,2,5,2,4,2,2,2,2,1,5,4,3,5,1,1,3,5,2,4,2,4,3,2,2,4,1,4,3,4,4,5,4,4,4,5,5,6,3,6,2,3,3,3,6,6,4,3,6,3,4,3,3,5,6,2,7,3,4,2,3,3,4,3,4,3,2,2,4,1,4,3,3,4,2,2,3,3,2,4,1,4,2,2,2,4,2,3
"70","154353","B",5,3,4,2,6,1,5,3,1,1,1,1,5,2,2,6,1,1,4,5,2,2,1,1,2,1,1,1,1,1,3,3,3,3,4,6,2,3,5,5,4,5,2,3,4,2,4,6,4,2,6,3,5,4,3,3,5,5,6,4,4,3,4,4,5,1,5,4,3,2,2,1,4,4,2,5,2,2,4,4,2,4,2,3,2,1,1,3,2,2
"72","154356","B",6,5,7,1,7,1,6,2,7,7,1,1,7,6,1,6,1,7,2,7,7,1,1,1,1,7,4,5,7,7,2,6,2,6,3,6,3,4,2,2,2,7,2,1,3,3,2,5,3,1,2,7,7,7,7,3,4,7,4,2,4,1,3,1,4,1,4,4,4,6,4,1,6,1,1,6,5,2,4,1,5,2,1,1,1,2,2,2,2,2
"73","154358","B",5,4,5,3,6,4,6,3,1,1,1,3,4,6,4,6,3,3,5,6,1,5,3,2,2,5,2,4,5,2,2,3,2,5,3,4,3,4,7,7,1,5,3,1,3,4,4,4,4,2,7,2,2,5,3,3,2,2,4,3,2,1,2,1,3,2,3,3,1,1,2,1,1,2,2,6,3,4,3,2,1,3,2,2,1,1,2,2,4,1
"76","154762","B",5,5,4,5,7,1,6,1,1,1,1,2,7,6,2,7,1,1,2,7,1,5,1,7,2,6,1,7,4,3,4,4,5,5,5,6,2,5,6,6,2,5,2,2,5,4,7,7,5,2,6,5,4,3,6,3,6,3,5,5,3,2,3,3,5,1,6,3,2,2,1,2,5,4,1,7,1,1,4,2,2,5,1,5,1,1,1,4,1,1
"78","154772","B",6,6,5,3,7,1,6,2,1,1,5,1,6,7,5,7,1,2,5,6,1,2,7,2,6,5,5,1,7,7,5,6,2,5,5,6,5,6,7,7,4,7,2,1,5,5,6,7,6,1,7,7,5,7,5,4,2,7,6,3,2,3,1,6,6,1,6,5,5,5,6,1,6,4,1,7,1,3,6,2,6,6,1,6,1,2,6,6,7,1
"80","154775","B",5,1,4,3,4,1,2,1,1,1,2,1,5,4,1,5,1,1,1,6,1,1,1,3,2,1,1,1,6,1,2,7,4,7,4,6,5,7,7,7,7,7,4,2,7,5,7,7,7,3,7,5,7,7,5,7,7,7,4,6,5,1,3,1,3,1,3,2,1,2,2,1,4,2,1,7,1,2,1,2,1,2,1,1,1,1,1,1,3,1
"82","154781","B",6,6,6,5,6,3,6,2,3,2,4,6,7,7,5,5,2,7,4,6,5,2,2,6,1,1,2,2,2,4,7,6,6,5,5,7,4,3,2,4,6,1,7,7,2,2,4,5,7,6,2,6,3,4,2,1,3,5,7,3,6,2,7,5,3,6,3,7,3,4,5,7,7,2,5,2,3,1,4,6,6,7,2,3,6,5,2,2,2,2
"84","154784","B",2,1,3,2,5,1,1,1,1,1,6,1,3,5,3,5,2,1,1,6,1,1,1,1,6,2,1,1,1,7,4,6,5,6,4,5,5,5,4,5,1,7,3,3,5,5,6,7,6,2,4,7,6,7,4,3,6,7,7,5,1,1,2,1,4,1,7,7,6,7,5,1,2,2,1,6,6,3,7,1,7,1,1,1,1,1,5,1,4,1
"85","154785","B",5,1,5,3,6,1,2,1,1,1,1,1,2,6,3,6,1,1,2,6,1,1,2,1,3,3,4,1,1,5,2,6,3,5,2,5,6,7,6,6,5,5,2,2,4,3,5,7,5,2,7,7,3,7,5,5,3,7,6,3,1,1,2,2,5,1,3,3,3,3,3,1,2,3,2,6,2,1,3,2,2,1,1,1,1,1,4,1,1,1
"86","154786","B",7,1,7,5,7,1,4,1,1,1,1,1,7,7,1,7,1,1,4,7,1,1,1,1,1,1,1,1,1,5,1,7,1,5,4,7,3,6,7,7,3,7,3,1,7,1,7,4,4,1,7,3,7,3,5,7,7,3,7,7,7,1,4,4,7,1,4,4,4,4,1,1,7,7,1,7,1,1,4,7,4,4,1,4,1,1,1,4,1,1
"87","154799","B",3,4,1,2,3,4,6,5,4,2,4,2,5,5,3,5,3,1,2,6,1,2,3,1,4,3,2,3,5,6,3,3,2,4,1,5,6,7,5,2,3,6,3,4,3,2,4,6,2,4,3,6,4,5,5,3,5,3,5,4,5,2,6,2,7,2,5,4,6,2,5,4,3,4,3,6,3,1,4,4,5,4,3,3,3,3,4,3,4,4
"89","154805","B",3,2,4,4,2,2,3,3,2,3,5,2,5,2,2,4,3,3,2,7,3,2,2,4,4,5,3,2,4,2,3,2,4,2,4,6,3,4,4,2,6,4,5,2,6,3,4,3,4,6,3,2,3,5,2,5,2,4,5,6,4,4,4,4,2,3,3,3,4,2,4,2,3,2,4,3,5,2,4,6,7,4,3,3,2,3,3,5,2,2
"90","154809","B",7,1,6,5,6,1,7,2,1,1,1,1,3,3,2,4,1,1,5,7,1,1,1,3,1,1,1,5,4,5,4,7,5,4,3,7,2,5,7,7,2,7,4,1,3,4,7,7,5,2,7,4,5,7,7,6,7,4,4,4,3,1,2,2,7,1,3,3,2,1,1,1,2,2,1,6,2,1,5,2,1,3,1,2,1,1,2,2,1,1
"93","154814","B",4,3,4,4,3,5,3,3,2,2,2,2,6,5,2,5,2,1,2,6,1,3,2,5,3,4,1,4,3,5,4,3,3,3,4,3,3,4,3,5,3,5,2,4,3,3,5,6,4,2,5,5,4,3,5,4,5,3,5,4,2,4,2,4,3,3,3,3,4,3,5,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,1
"94","154815","B",5,1,5,1,1,1,2,1,1,1,2,3,7,1,1,5,1,1,1,7,1,1,2,1,1,1,1,3,5,1,3,6,5,5,4,7,7,6,6,1,4,6,2,4,6,3,7,7,5,1,7,6,5,6,7,7,5,6,6,6,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98","154821","B",7,3,7,7,5,6,5,3,7,6,7,1,6,7,1,7,5,2,5,7,7,7,1,7,5,7,6,7,7,1,1,6,1,3,3,3,3,7,5,5,1,6,2,2,5,2,3,3,4,1,6,2,7,2,4,2,2,3,3,6,1,1,1,4,3,3,4,2,4,3,6,1,5,2,1,5,4,7,3,1,5,5,1,4,1,2,5,7,7,1
"101","154826","B",3,2,3,5,3,3,6,5,2,2,2,1,5,3,2,6,1,1,3,5,1,1,1,1,2,1,2,1,2,2,3,7,3,3,3,3,1,5,6,6,1,6,2,2,2,5,5,5,4,1,6,4,5,6,4,5,5,4,4,3,3,1,2,3,4,2,7,2,2,2,2,1,3,2,2,6,4,2,2,2,2,1,1,1,1,1,4,3,2,1
"104","154829","B",5,1,6,2,6,2,5,1,1,1,6,2,6,7,5,7,1,2,4,7,1,5,1,6,3,5,5,6,7,7,5,7,5,6,5,7,3,5,7,7,4,7,5,5,4,4,7,7,5,1,7,5,7,5,6,2,7,3,7,5,4,2,3,5,4,1,6,5,5,5,6,1,5,3,2,5,5,3,5,6,6,3,1,3,1,3,6,3,5,3
"109","154835","B",6,1,3,1,6,1,2,1,1,1,1,1,2,7,6,6,1,6,1,7,1,1,1,1,6,6,1,1,6,1,6,7,4,5,5,7,3,6,7,7,4,7,6,3,5,6,6,3,6,1,7,7,7,6,3,4,6,7,7,6,4,2,4,4,5,1,5,3,1,4,4,1,4,3,2,7,1,7,2,1,1,1,1,1,2,2,4,1,4,6
"111","154839","B",3,1,5,2,6,2,6,5,1,2,5,2,5,6,2,7,1,1,5,6,1,2,2,2,1,1,1,2,2,2,4,7,4,5,3,5,4,6,6,7,1,5,3,2,3,3,6,6,6,2,7,4,4,4,6,5,5,3,5,5,2,1,2,3,4,3,5,2,2,2,7,1,4,3,1,6,3,2,3,3,2,4,1,4,1,1,2,4,3,1
"112","154840","B",5,3,6,3,6,3,4,4,1,1,2,2,5,4,3,5,1,3,4,7,1,4,2,3,4,5,3,3,4,4,2,4,3,5,3,4,4,4,5,5,3,3,3,2,4,3,5,4,4,3,4,3,5,3,4,4,4,3,5,4,4,2,3,2,3,1,2,2,1,1,2,1,2,2,1,5,1,2,2,5,2,2,1,2,1,1,3,1,2,1
"113","154842","B",5,3,4,4,5,2,3,3,3,3,2,3,4,5,2,5,2,2,3,5,3,4,5,2,4,2,2,2,2,5,1,3,1,2,3,3,2,3,2,3,3,3,2,2,2,2,4,4,2,1,3,2,3,4,2,3,3,3,4,2,3,3,2,2,5,2,5,5,4,4,4,2,2,5,3,5,2,1,5,4,4,4,1,2,3,3,3,4,1,3
"114","154848","B",3,1,2,2,4,1,2,2,1,1,5,1,2,3,2,5,1,1,2,6,1,1,2,1,3,3,1,1,2,2,4,4,4,4,4,5,4,4,6,6,1,5,4,2,2,4,4,6,4,1,6,4,4,3,4,2,5,3,4,4,3,1,2,1,4,1,3,2,2,2,4,1,2,2,1,4,2,1,3,3,2,2,1,1,1,1,2,1,2,1
"117","154854","B",5,2,6,5,5,1,3,1,2,1,5,1,2,5,3,6,2,1,2,6,2,1,1,1,1,4,2,1,4,3,3,5,2,4,4,6,4,5,5,5,2,6,3,3,2,4,4,5,4,2,4,6,5,6,4,3,4,5,3,5,3,1,3,4,3,1,3,3,3,3,4,1,1,4,1,5,3,2,3,4,3,1,1,1,1,2,4,1,2,1
"119","154859","B",1,1,4,1,4,2,3,2,1,1,1,1,1,1,1,2,1,1,3,4,1,1,1,1,1,1,2,1,1,4,5,7,3,6,5,5,4,4,6,5,6,7,3,4,4,6,7,7,4,1,6,7,7,6,5,6,5,6,7,2,1,1,1,1,2,1,4,4,4,5,3,1,1,4,1,3,3,1,5,1,5,1,1,1,1,1,2,1,1,1
"120","154860","B",6,2,6,7,7,5,6,6,1,1,5,2,7,7,4,7,3,5,7,7,1,3,7,2,7,5,6,5,7,2,3,5,3,3,2,2,2,5,7,7,1,4,1,2,4,2,6,6,4,2,7,2,2,4,2,3,2,2,3,2,2,1,2,6,6,2,4,3,1,1,5,1,6,5,1,6,5,6,6,1,1,6,1,4,3,5,5,5,5,1
"121","154861","B",7,1,6,1,4,1,1,1,1,1,3,1,1,7,1,7,1,1,1,7,1,1,1,7,1,1,1,7,5,1,4,7,2,7,5,7,6,6,7,7,1,7,6,2,2,4,7,7,5,1,7,2,7,2,5,6,6,2,5,4,5,1,2,1,4,1,4,1,1,1,4,1,1,2,1,5,1,1,4,6,1,1,1,1,1,1,2,1,1,1
"123","154864","B",3,1,5,1,5,1,2,1,1,2,2,1,2,3,3,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,3,5,3,6,2,7,6,4,5,5,1,6,4,2,1,3,4,6,5,1,5,6,6,7,7,5,5,7,5,5,3,1,2,1,3,1,3,3,3,4,3,1,2,2,1,6,1,1,3,2,3,1,1,1,1,1,1,1,1,1
"126","154869","B",5,1,4,3,7,1,6,1,1,1,1,1,6,7,4,7,1,1,2,6,1,1,1,1,1,2,1,2,1,2,2,4,2,3,2,5,2,5,5,6,3,6,2,2,2,3,4,6,4,1,6,5,6,6,6,3,5,4,6,6,3,1,3,4,7,1,6,1,1,1,1,1,6,4,1,7,1,1,1,4,1,2,1,2,1,1,1,2,1,1
